50 5 5
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
-0.954302, -0.882272, -0.841765, -0.878131, -0.868783, 
-0.912891, -0.85105, -0.825906, -0.839997, -0.841275, 
-0.701811, -0.855714, -0.746376, -0.763255, -0.781288, 
0, 0, 0, -0.235353, 0, 
0, 0, 0, 0, 0, 
-0.924191, -0.916126, -0.973297, -0.899409, -0.854692, 
-0.930839, -0.87326, -0.92727, -0.885861, -0.838431, 
-0.71249, -0.769071, -0.907135, -0.775044, -0.765682, 
-0.666795, -0.239115, -0.109869, -0.137879, -0.174602, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
-0.9571, -0.900603, -0.917016, -0.887284, -0.894964, 
-0.830658, -0.835631, -0.833087, -0.832573, -0.909739, 
-0.804525, -0.843944, -0.906876, -0.773575, -0.772563, 
-0.208543, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
-0.928627, -0.909151, -0.964375, -0.913201, -0.872418, 
-0.905234, -0.909216, -0.862628, -0.924045, -0.951245, 
-1.03532, -0.918398, -0.837033, -0.900775, -0.798803, 
-0.327863, -0.258119, -0.176405, -0.176101, -0.352702, 
0, 0, 0, 0, 0, 
-0.861017, -0.920338, -0.940647, -0.975752, -0.915957, 
-0.912019, -0.909802, -0.981837, -0.838188, -0.881905, 
-0.892505, -0.761971, -0.790745, -0.788397, -0.793672, 
-0.390222, -0.108038, 0, -0.108614, -0.627381, 
0, 0, 0, 0, 0, 
-0.925728, -0.92702, -0.928027, -0.909066, -0.925426, 
-0.914451, -0.935448, -0.923164, -0.846949, -0.929397, 
-0.842739, -0.774376, -0.905298, -0.943687, -0.917168, 
-0.208303, -0.339241, 0, -0.430855, -0.281183, 
0, 0, 0, 0, 0, 
-0.930097, -0.917713, -0.878785, -0.902551, -0.901513, 
-0.870719, -0.878358, -0.863014, -0.861227, -0.852205, 
-0.820583, -0.787956, -0.82473, -0.80907, -0.794404, 
-0.216934, -0.165548, 0, -0.164182, 0, 
0, 0, 0, 0, 0, 
-0.937789, -0.960423, -0.961679, -0.910797, -0.946502, 
-0.929051, -0.920995, -0.961011, -0.91404, -0.855927, 
-0.846108, -1.0943, -0.806861, -0.892571, -0.918213, 
-0.319108, -0.220991, -0.375155, -0.284715, -0.164206, 
0, 0, 0, 0, 0, 
-0.860864, -0.863448, -0.866717, -0.894655, -0.946196, 
-0.928417, -0.845675, -0.931204, -0.913949, -0.944888, 
-0.955896, -0.887502, -0.881847, -0.975954, -0.823589, 
-0.178813, -0.373426, -0.2569, -1.03813, -0.25569, 
0, 0, 0, 0, 0, 
-0.863997, -0.869922, -0.868923, -0.87004, -0.950547, 
-0.90515, -0.848456, -0.92008, -0.926739, -0.897702, 
-0.812243, -0.840253, -0.840854, -0.812411, -0.813889, 
-0.277195, -0.298425, -0.249143, -0.230811, -0.384508, 
0, 0, 0, 0, 0, 
-0.876342, -0.917794, -0.919561, -0.920434, -0.977038, 
-0.880843, -0.919228, -0.941213, -0.912081, -0.945593, 
-0.952309, -0.915315, -0.964714, -0.955536, -0.828664, 
-0.276985, -0.241617, -0.387853, -0.246271, -0.266917, 
0, 0, 0, 0, 0, 
-0.892746, -0.926363, -0.916347, -0.916882, -0.962193, 
-0.912393, -0.91923, -0.896192, -0.920417, -0.903512, 
-0.876616, -0.878092, -0.821875, -0.820646, -0.874944, 
-0.317946, -0.437883, -0.35386, -0.467628, -0.409781, 
0, 0, 0, 0, 0, 
-0.856205, -0.860709, -0.862117, -0.926077, -0.879173, 
-0.944315, -0.963753, -0.945769, -0.867841, -0.934164, 
-0.96612, -0.960947, -0.824885, -0.937914, -0.830459, 
-0.312313, -0.369956, -0.348274, -0.286468, -0.42231, 
0, 0, 0, 0, 0, 
-0.907835, -0.857002, -0.875242, -0.875369, -0.879664, 
-0.914442, -0.959107, -0.92101, -0.921299, -0.895526, 
-0.869614, -0.8435, -0.89651, -0.840781, -0.843095, 
-0.323999, -0.381021, -0.305647, -0.419698, -0.316387, 
0, 0, 0, 0, 0, 
-0.881137, -0.861506, -0.859509, -0.861692, -0.926546, 
-0.923384, -0.905215, -0.865263, -0.929301, -0.879054, 
-0.902754, -0.932459, -1.10298, -0.835295, -0.837469, 
-0.153186, -0.309595, -0.200514, -0.215155, 0, 
0, 0, 0, 0, 0, 
-0.913214, -0.864969, -0.895136, -0.899712, -0.945004, 
-0.946891, -0.934883, -0.93545, -0.859804, -0.936852, 
-0.878965, -0.919503, -0.917561, -0.834068, -0.836623, 
-0.364056, -0.274634, -0.35374, -0.394244, -0.290488, 
0, 0, 0, 0, 0, 
-0.850034, -0.903132, -0.881593, -0.855627, -0.954844, 
-0.931983, -0.871854, -0.972091, -0.926216, -0.934937, 
-0.918946, -0.92423, -0.95065, -0.838484, -0.952173, 
-0.162189, -0.131627, -0.259462, -0.217636, -0.242025, 
0, 0, 0, 0, 0, 
-0.895234, -0.854994, -0.906464, -0.860523, -0.865379, 
