count, mean, std_error
1000, 3.9585, 1.0719271197240965
1000, 4.119, 1.0336048567997345
1000, 3.5035, 0.8801918824892582
1000, 3.1145, 0.4707863103362334
1000, 3.0575, 0.34488222627441595
1000, 3.039, 0.28192020147551955
997, 3.0366098294884654, 0.27775020567757486
968, 3.043388429752066, 0.30181559067619546
872, 3.029816513761468, 0.26926839940838665
729, 3.054869684499314, 0.33905624813070684
537, 3.0502793296089385, 0.32189631934945223
336, 3.056547619047619, 0.3447117292809385
208, 3.048076923076923, 0.30633716003988376
111, 3.027027027027027, 0.28346185085679765
66, 3.015151515151515, 0.2748235931396523
32, 3.0, 0.0
21, 3.0, 0.0
9, 3.0, 0.0
7, 3.0, 0.0
4, 3.0, 0.0
2, 3.0, 0.0
1, 3.0, 0.0
1, 3.0, 0.0
