count, mean, std_error
1000, 1.0634506677657773, 0.05264999961103765
1000, 1.04991983428807, 0.03707061239617927
1000, 1.039382202434994, 0.02845458549532345
1000, 1.032348333707836, 0.02341950936595062
1000, 1.0267807694114526, 0.019747031908547017
1000, 1.0241785366028489, 0.018069755969928197
1000, 1.0229937323613267, 0.01735993565322443
1000, 1.0237100511833268, 0.017565148655957995
1000, 1.0246856563868059, 0.01745873007322869
1000, 1.026005859992234, 0.01791811723076041
1000, 1.0268132938382915, 0.017750323860671356
1000, 1.0274170224263217, 0.018148186936089564
1000, 1.0281464686658728, 0.018149884449946394
1000, 1.0283565152013034, 0.01832434837562903
1000, 1.0286545979418151, 0.018260928700829446
1000, 1.028919044549053, 0.018137064438803946
1000, 1.0292221116263536, 0.018189752943449006
1000, 1.029272235915996, 0.018396747465521626
1000, 1.0292440484859982, 0.0186526847897042
1000, 1.0296848027260859, 0.01884528760117845
1000, 1.03020244160507, 0.018955654547149123
1000, 1.0306279736805009, 0.019033393884786358
1000, 1.0311942763660846, 0.018955936288118334
1000, 1.0320228022008668, 0.0191986448271772
1000, 1.0328162202281819, 0.0195929878443672
1000, 1.0334418477666332, 0.01976173638031
1000, 1.0345760026370407, 0.019762140405430437
998, 1.0355754310314993, 0.02000809811988711
981, 1.0363837544260182, 0.020084366900949904
974, 1.037212403133766, 0.020203074376747156
956, 1.0379420167470723, 0.02029728480208831
912, 1.0385888808375232, 0.020311151292532716
865, 1.0393150115948213, 0.020273739443160493
805, 1.0405569872063996, 0.02028637448875322
734, 1.0414611040157766, 0.02026554627081746
652, 1.042115466542252, 0.020302039916454
570, 1.0425651179317164, 0.020314728561383805
496, 1.0432320327379256, 0.020548192070027265
411, 1.0432025772301874, 0.01979432489508379
344, 1.0436975706347027, 0.019349565484385194
285, 1.0434249073344593, 0.019981605143669662
232, 1.0438566858647391, 0.019761413464133508
183, 1.0423261303438098, 0.01873952377013913
140, 1.0422385121903581, 0.018964843913192957
120, 1.0414558783357886, 0.018465955360405777
88, 1.0408113000594312, 0.018350947898516424
68, 1.0396960766169394, 0.019046296710810033
59, 1.0404163353318758, 0.019544873595474997
52, 1.0404970148363366, 0.020212220694580577
37, 1.0398613677511144, 0.01852274374254989
26, 1.0384884589674095, 0.019268562606904432
19, 1.0388271631182808, 0.02032969982794192
15, 1.0393941128626465, 0.018868300486183986
13, 1.0372508582300866, 0.01891214141879913
9, 1.0414431548366945, 0.016588763828946345
9, 1.041282129784425, 0.016101449240378454
6, 1.0361261311918497, 0.016877708890978456
5, 1.0376803573220967, 0.019978464130408203
3, 1.0292619510243337, 0.019668741925802192
3, 1.0298559019962947, 0.01907668434688865
1, 1.0127931516617537, 0.0
1, 1.0115761067718267, 0.0
