2020-02-02 22:01:43.559597: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
Radiation dose : 0.0 Gy , radius :  21.61157097482735 remaining : 420 time = 24
Radiation dose : 4.0 Gy , radius :  22.968674319603213 remaining : 108 time = 24
Radiation dose : 0.0 Gy , radius :  21.917344729688406 remaining : 216 time = 24
Radiation dose : 0.0 Gy , radius :  23.3085821104588 remaining : 432 time = 24
Radiation dose : 0.5 Gy , radius :  24.024362634625714 remaining : 718 time = 24
Radiation dose : 2.0 Gy , radius :  24.81713117989265 remaining : 534 time = 24
Radiation dose : 0.0 Gy , radius :  24.719425559668657 remaining : 1068 time = 24
Radiation dose : 0.5 Gy , radius :  24.719425559668657 remaining : 1714 time = 24
Radiation dose : 4.0 Gy , radius :  25.395472037353432 remaining : 414 time = 24
Radiation dose : 2.5 Gy , radius :  25.395472037353432 remaining : 246 time = 24
Radiation dose : 1.0 Gy , radius :  25.395472037353432 remaining : 332 time = 24
Radiation dose : 1.0 Gy , radius :  26.14670151281037 remaining : 426 time = 24
Radiation dose : 3.0 Gy , radius :  27.500000000000004 remaining : 174 time = 24
Average (on the epoch) training loss: 0.12132387608289719
Episode average V value: 0.050841399060006724
Radiation dose : 0.5 Gy , radius :  13.782960494755836 remaining : 2495 time = 24
Radiation dose : 2.5 Gy , radius :  14.3 remaining : 1526 time = 24
Radiation dose : 3.5 Gy , radius :  14.3 remaining : 521 time = 24
Radiation dose : 1.5 Gy , radius :  15.74960316960399 remaining : 562 time = 24
Radiation dose : 0.0 Gy , radius :  16.7547008329006 remaining : 1144 time = 24
Radiation dose : 0.0 Gy , radius :  18.208239892971534 remaining : 2340 time = 24
Radiation dose : 3.0 Gy , radius :  18.208239892971534 remaining : 1136 time = 24
Radiation dose : 3.5 Gy , radius :  18.208239892971534 remaining : 387 time = 24
Radiation dose : 0.5 Gy , radius :  19.24214125298949 remaining : 622 time = 24
Radiation dose : 3.5 Gy , radius :  19.24214125298949 remaining : 234 time = 24
Radiation dose : 4.0 Gy , radius :  18.700000000000003 remaining : 50 time = 24
Radiation dose : 4.0 Gy , radius :  19.67739820199815 remaining : 4 time = 24
Radiation dose : 0.0 Gy , radius :  4.919349550499538 remaining : 8 time = 24
Radiation dose : 0.5 Gy , radius :  5.5 remaining : 12 time = 24
Radiation dose : 1.0 Gy , radius :  7.043436661176134 remaining : 16 time = 24
Radiation dose : 3.5 Gy , radius :  7.043436661176134 remaining : 6 time = 24
Radiation dose : 0.5 Gy , radius :  7.932212806020777 remaining : 12 time = 24
Radiation dose : 0.0 Gy , radius :  9.46255779374689 remaining : 25 time = 24
Radiation dose : 1.5 Gy , radius :  9.46255779374689 remaining : 25 time = 24
Radiation dose : 1.5 Gy , radius :  9.46255779374689 remaining : 34 time = 24
Radiation dose : 2.5 Gy , radius :  10.377379245262265 remaining : 30 time = 24
Radiation dose : 4.0 Gy , radius :  10.377379245262265 remaining : 4 time = 24
Radiation dose : 3.0 Gy , radius :  9.46255779374689 remaining : 2 time = 24
Radiation dose : 2.0 Gy , radius :  9.46255779374689 remaining : 4 time = 24
Radiation dose : 2.0 Gy , radius :  9.838699100999076 remaining : 6 time = 24
Radiation dose : 0.0 Gy , radius :  10.377379245262265 remaining : 13 time = 24
Radiation dose : 2.0 Gy , radius :  10.833743581975716 remaining : 11 time = 24
Radiation dose : 2.0 Gy , radius :  10.377379245262265 remaining : 15 time = 24
Radiation dose : 1.0 Gy , radius :  11.0 remaining : 28 time = 24
