50 5 4
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.867184, -0.813641, -0.873365, -0.864614, 
-0.86343, -0.899855, -0.885759, -0.86714, 
-0.565025, -0.569298, -0.589227, -0.640045, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.900658, -0.879851, -0.838489, -0.863542, 
-0.957412, -0.986556, -0.934858, -0.935333, 
-0.696289, -0.727426, -0.737681, -0.672089, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.807178, -0.805135, -0.815587, -0.762395, 
-0.926804, -0.897768, -0.905634, -0.82617, 
-0.747519, -0.752825, -0.64079, -0.770771, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.76396, -0.771905, -0.786039, -0.798037, 
-0.988599, -0.950781, -0.936858, -0.914223, 
-0.775847, -0.689907, -0.658431, -0.735504, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.749626, -0.748811, -0.801529, -0.746926, 
-0.993124, -0.998498, -0.990376, -0.947384, 
-0.786596, -0.774276, -0.782377, -0.74752, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.666626, -0.66961, -0.721373, -0.752816, 
-0.882774, -0.954741, -0.927993, -0.927358, 
-0.700816, -0.629738, -0.719449, -0.632442, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.641537, -0.635797, -0.637873, -0.641944, 
-0.905591, -0.949992, -0.965634, -0.939923, 
-0.825019, -0.762856, -0.797492, -0.827713, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.652627, -0.662248, -0.711998, -0.661183, 
-0.881964, -0.924561, -0.936114, -0.870958, 
-0.730122, -0.868227, -0.782174, -0.769785, 
0, 0, 0, 0, 
0, 0, 0, 0, 
-0.596039, -0.606627, -0.597172, -0.614523, 
-0.884735, -0.851447, -0.859186, -0.891156, 
-0.756749, -0.733038, -0.745693, -0.759065, 
0, 0, 0, 0, 
0, 0, 0, 0, 
